2026-05-20 10:33:13,199 | INFO | telegram.ext.Application | Application started
2026-05-20 10:33:13,496 | INFO | VCPlatform | Admin bot started
2026-05-20 10:33:14,466 | INFO | telegram.ext.Application | Application started
2026-05-20 10:33:17,032 | INFO | VCPlatform | [6444599625] Client bot launched: @YTBHAI_LIVE_BOT
2026-05-20 10:33:17,156 | INFO | VCPlatform | [6444599625] Monitor started for https://t.me/+VasrzM1i2TQzYmFl
2026-05-20 10:33:17,156 | INFO | VCPlatform | [6444599625] Channel from cache: '𝐒𝐔𝐑𝐄𝐒𝐇𝐎𝐓 𝐁𝐘 𝐉𝐀𝐂𝐊' (bare_id=2412810294) for https://t.me/+VasrzM1i2TQzYmFl
2026-05-20 10:33:17,157 | INFO | VCPlatform | [6444599625] VC push update handler registered
2026-05-20 10:33:17,931 | INFO | telegram.ext.Application | Application started
2026-05-20 10:33:19,015 | INFO | VCPlatform | [6444599625] Live already running in https://t.me/+VasrzM1i2TQzYmFl on startup — joining...
2026-05-20 10:33:19,340 | INFO | VCPlatform | [6444599625_2] Client bot launched: @YTBHAILIVEFC2_BOT
2026-05-20 10:33:19,467 | INFO | VCPlatform | [6444599625_2] Monitor started for https://t.me/+5wYXdZfacPwwZTZl
2026-05-20 10:33:19,468 | INFO | VCPlatform | [6444599625_2] Channel from cache: '𝐒𝐔𝐑𝐄𝐒𝐇𝐎𝐓 𝐁𝐘 𝐑𝐀𝐌' (bare_id=2893144270) for https://t.me/+5wYXdZfacPwwZTZl
2026-05-20 10:33:19,468 | INFO | VCPlatform | [6444599625_2] VC push update handler registered
2026-05-20 10:33:20,144 | INFO | VCPlatform | [6444599625_2] Live already running in https://t.me/+5wYXdZfacPwwZTZl on startup — joining...
2026-05-20 10:33:20,246 | INFO | telegram.ext.Application | Application started
2026-05-20 10:33:21,336 | INFO | VCPlatform | [6444599625] Joined VC in chat -1002412810294
2026-05-20 10:33:21,336 | INFO | VCPlatform | [6444599625] Joined VC on startup in https://t.me/+VasrzM1i2TQzYmFl
2026-05-20 10:33:21,337 | INFO | VCPlatform | [6444599625] NTG: ConnectionState.CONNECTING
2026-05-20 10:33:21,722 | INFO | VCPlatform | [6444599625] NTG: ConnectionState.CONNECTED
2026-05-20 10:33:21,730 | INFO | VCPlatform | [6444599625_2] NTG: ConnectionState.CONNECTING
